YEAR,DIST_TYPE,SEVERITY,sumcount,ACRES
1999,Chemical,Low,368,81.841176
1999,Clearcut,High,337,74.9469465
1999,Clearcut,Low,7548,1678.633686
1999,Clearcut,Medium,5933,1319.466569
1999,Harvest,High,32,7.116624
1999,Harvest,Low,3184,708.104088
1999,Harvest,Medium,1188,264.204666
1999,Other Mechanical,High,39,8.6733855
1999,Other Mechanical,Low,2838,631.155591
1999,Other Mechanical,Medium,544,120.982608
1999,Prescribed Fire,Low,1096,243.744372
1999,Prescribed Fire,Medium,19,4.2254955
1999,Thinning,High,79,17.5691655
1999,Thinning,Low,17977,3997.985927
1999,Thinning,Medium,1093,243.0771885
1999,Unknown,High,211,46.9252395
1999,Unknown,Low,379,84.2875155
1999,Unknown,Medium,4247,944.5094415
1999,Wildland Fire,High,2249,500.1652305
1999,Wildland Fire,Low,760,169.01982
1999,Wildland Fire,Medium,2135,474.8122575
2000,Chemical,Low,1238,275.324391
2000,Clearcut,High,213,47.3700285
2000,Clearcut,Low,4111,914.2637895
2000,Clearcut,Medium,5611,1247.85554
2000,Harvest,High,23,5.1150735
2000,Harvest,Low,3467,771.0417315
2000,Harvest,Medium,968,215.277876
2000,Other Mechanical,High,8,1.779156
2000,Other Mechanical,Low,3355,746.1335475
2000,Other Mechanical,Medium,731,162.5703795
2000,Prescribed Fire,Low,2616,581.784012
2000,Prescribed Fire,Medium,68,15.122826
2000,Thinning,High,16,3.558312
2000,Thinning,Low,15402,3425.320089
2000,Thinning,Medium,1023,227.5095735
2000,Unknown,High,53,11.7869085
2000,Unknown,Low,839,186.5889855
2000,Unknown,Medium,6411,1425.77114
2000,Wildfire,High,7181,1597.014905
2000,Wildfire,Increased Green,59,13.1212755
2000,Wildfire,Low,4354,968.305653
2000,Wildfire,Medium,5422,1205.822979
2000,Wildfire,Unburned/Low,3822,849.991779
2000,Wildland Fire,High,20,4.44789
2000,Wildland Fire,Low,3059,680.3047755
2000,Wildland Fire,Medium,1234,274.434813
2001,Clearcut,High,806,179.249967
2001,Clearcut,Low,3718,826.862751
2001,Clearcut,Medium,4812,1070.162334
2001,Harvest,High,52,11.564514
2001,Harvest,Low,2545,565.9940025
2001,Harvest,Medium,1404,312.241878
2001,Other Mechanical,High,144,32.024808
2001,Other Mechanical,Low,3573,794.6155485
2001,Other Mechanical,Medium,935,207.9388575
2001,Prescribed Fire,Low,1613,358.7223285
2001,Prescribed Fire,Medium,105,23.3514225
2001,Thinning,High,1,0.2223945
2001,Thinning,Low,10989,2443.893161
2001,Thinning,Medium,469,104.3030205
2001,Unknown,High,54,12.009303
2001,Unknown,Low,298,66.273561
2001,Unknown,Medium,2718,604.468251
2001,Wildland Fire,High,34,7.561413
2001,Wildland Fire,Low,195,43.3669275
2001,Wildland Fire,Medium,226,50.261157
2002,Clearcut,High,245,54.4866525
2002,Clearcut,Low,3185,708.3264825
2002,Clearcut,Medium,2132,474.145074
2002,Harvest,High,1,0.2223945
2002,Harvest,Low,1658,368.730081
2002,Harvest,Medium,425,94.5176625
2002,Other Mechanical,Low,2367,526.4077815
2002,Other Mechanical,Medium,710,157.900095
2002,Prescribed Fire,High,281,62.4928545
2002,Prescribed Fire,Low,1658,368.730081
2002,Prescribed Fire,Medium,1260,280.21707
2002,Thinning,High,81,18.0139545
2002,Thinning,Low,8423,1873.228874
2002,Thinning,Medium,1394,310.017933
2002,Unknown,High,137,30.4680465
2002,Unknown,Low,251,55.8210195
2002,Unknown,Medium,1805,401.4220725
2002,Wildfire,Low,322,71.611029
2002,Wildland Fire,Low,171,38.0294595
2002,Wildland Fire,Medium,31,6.8942295
2003,Clearcut,High,319,70.9438455
2003,Clearcut,Low,802,178.360389
2003,Clearcut,Medium,2728,606.692196
2003,Harvest,High,235,52.2627075
2003,Harvest,Low,513,114.0883785
2003,Harvest,Medium,483,107.4165435
2003,Other Mechanical,High,9,2.0015505
2003,Other Mechanical,Low,4868,1082.616426
2003,Other Mechanical,Medium,774,172.133343
2003,Prescribed Fire,High,154,34.248753
2003,Prescribed Fire,Low,1799,400.0877055
2003,Prescribed Fire,Medium,357,79.3948365
2003,Thinning,High,58,12.898881
2003,Thinning,Low,6800,1512.2826
2003,Thinning,Medium,1152,256.198464
2003,Unknown,High,87,19.3483215
2003,Unknown,Low,51,11.3421195
2003,Unknown,Medium,1262,280.661859
2003,Wildfire,Low,1394,310.017933
2003,Wildfire,Medium,257,57.1553865
2003,Wildfire,Unburned/Low,220,48.92679
2003,Wildland Fire,High,355,78.9500475
2003,Wildland Fire,Low,1901,422.7719445
2003,Wildland Fire,Medium,1382,307.349199
2004,Clearcut,High,108,24.018606
2004,Clearcut,Low,1824,405.647568
2004,Clearcut,Medium,8024,1784.493468
2004,Harvest,High,2,0.444789
2004,Harvest,Low,638,141.887691
2004,Harvest,Medium,478,106.304571
2004,Other Mechanical,High,31,6.8942295
2004,Other Mechanical,Low,3669,815.9654205
2004,Other Mechanical,Medium,682,151.673049
2004,Prescribed Fire,High,103,22.9066335
2004,Prescribed Fire,Low,5850,1301.007825
2004,Prescribed Fire,Medium,63,14.0108535
2004,Thinning,High,31,6.8942295
2004,Thinning,Low,6925,1540.081913
2004,Thinning,Medium,1999,444.5666055
2004,Unknown,High,53,11.7869085
2004,Unknown,Low,152,33.803964
2004,Unknown,Medium,4482,996.772149
2005,Clearcut,High,152,33.803964
2005,Clearcut,Low,1995,443.6770275
2005,Clearcut,Medium,4913,1092.624179
2005,Harvest,High,12,2.668734
2005,Harvest,Low,521,115.8675345
2005,Harvest,Medium,824,183.253068
2005,Other Mechanical,High,548,121.872186
2005,Other Mechanical,Low,2035,452.5728075
2005,Other Mechanical,Medium,2323,516.6224235
2005,Prescribed Fire,Low,561,124.7633145
2005,Prescribed Fire,Medium,279,62.0480655
2005,Thinning,High,14,3.113523
2005,Thinning,Low,7349,1634.377181
2005,Thinning,Medium,1126,250.416207
2005,Unknown,High,56,12.454092
