"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"1",11,1999,"Wildfire","Unburned/Low",118775,26414.9067375
"2",12,1999,"Wildfire","Low",221996,49370.689422
"3",13,1999,"Wildfire","Medium",5849,1300.7854305
"4",14,1999,"Wildfire","High",127,28.2441015
"5",431,1999,"Harvest","Low",593,131.8799385
"6",432,1999,"Harvest","Medium",1099,244.4115555
"7",433,1999,"Harvest","High",43,9.5629635
"8",461,1999,"Other Mechanical","Low",45,10.0077525
"9",462,1999,"Other Mechanical","Medium",151,33.5815695
"10",463,1999,"Other Mechanical","High",386,85.844277
"11",471,1999,"Wildfire","Low",2105,468.1404225
"12",472,1999,"Wildfire","Medium",26802,5960.617389
"13",473,1999,"Wildfire","High",2517,559.7669565
"14",491,1999,"Prescribed Fire","Low",24534,5456.226663
"15",492,1999,"Prescribed Fire","Medium",23311,5184.2381895
"16",493,1999,"Prescribed Fire","High",158,35.138331
"17",602,1999,"Unknown","Medium",365,81.1739925
"18",603,1999,"Unknown","High",889,197.7087105
"19",702,1999,"Unknown","Medium",1253,278.6603085
"20",703,1999,"Unknown","High",4980,1107.52461
"21",732,1999,"Harvest","Medium",36,8.006202
"22",733,1999,"Harvest","High",158,35.138331
"23",762,1999,"Other Mechanical","Medium",35,7.7838075
"24",763,1999,"Other Mechanical","High",70,15.567615
"25",772,1999,"Wildfire","Medium",42,9.340569
"26",773,1999,"Wildfire","High",104,23.129028
"27",792,1999,"Prescribed Fire","Medium",9,2.0015505
"28",793,1999,"Prescribed Fire","High",5,1.1119725
"29",1102,1999,"Unknown","Medium",223,49.5939735
"30",1103,1999,"Unknown","High",2895,643.8320775
"31",11,2000,"Wildfire","Unburned/Low",575,127.8768375
"32",12,2000,"Wildfire","Low",892,198.375894
"33",13,2000,"Wildfire","Medium",2651,589.5678195
"34",14,2000,"Wildfire","High",4777,1062.3785265
"35",15,2000,"Wildfire","Increased Green",20,4.44789
"36",431,2000,"Harvest","Low",2731,607.3593795
"37",432,2000,"Harvest","Medium",5872,1305.900504
"38",433,2000,"Harvest","High",41,9.1181745
"39",461,2000,"Other Mechanical","Low",195,43.3669275
"40",462,2000,"Other Mechanical","Medium",1841,409.4282745
"41",463,2000,"Other Mechanical","High",178,39.586221
"42",491,2000,"Prescribed Fire","Low",708,157.455306
"43",492,2000,"Prescribed Fire","Medium",3185,708.3264825
"44",493,2000,"Prescribed Fire","High",100,22.23945
"45",602,2000,"Unknown","Medium",282,62.715249
"46",603,2000,"Unknown","High",710,157.900095
"47",702,2000,"Unknown","Medium",122,27.132129
"48",703,2000,"Unknown","High",1200,266.8734
"49",732,2000,"Harvest","Medium",37,8.2285965
"50",733,2000,"Harvest","High",98,21.794661
"51",762,2000,"Other Mechanical","Medium",1,0.2223945
"52",792,2000,"Prescribed Fire","Medium",2,0.444789
"53",1102,2000,"Unknown","Medium",161,35.8055145
"54",1103,2000,"Unknown","High",1231,273.7676295
"55",11,2001,"Wildfire","Unburned/Low",7733,1719.7766685
"56",12,2001,"Wildfire","Low",16467,3662.1702315
"57",13,2001,"Wildfire","Medium",6871,1528.0726095
"58",14,2001,"Wildfire","High",10585,2354.0457825
"59",431,2001,"Harvest","Low",1583,352.0504935
"60",432,2001,"Harvest","Medium",1185,263.5374825
"61",433,2001,"Harvest","High",18,4.003101
"62",461,2001,"Other Mechanical","Low",165,36.6950925
"63",462,2001,"Other Mechanical","Medium",1641,364.9493745
"64",463,2001,"Other Mechanical","High",378,84.065121
"65",471,2001,"Wildfire","Low",783,174.1348935
"66",472,2001,"Wildfire","Medium",1460,324.69597
"67",473,2001,"Wildfire","High",46,10.230147
"68",491,2001,"Prescribed Fire","Low",125,27.7993125
"69",492,2001,"Prescribed Fire","Medium",1353,300.8997585
"70",493,2001,"Prescribed Fire","High",221,49.1491845
"71",601,2001,"Unknown","Low",1,0.2223945
"72",602,2001,"Unknown","Medium",4174,928.274643
"73",603,2001,"Unknown","High",4070,905.145615
"74",702,2001,"Unknown","Medium",2033,452.1280185
"75",703,2001,"Unknown","High",1667,370.7316315
"76",732,2001,"Harvest","Medium",2,0.444789
"77",762,2001,"Other Mechanical","Medium",29,6.4494405
"78",763,2001,"Other Mechanical","High",2,0.444789
"79",1102,2001,"Unknown","Medium",323,71.8334235
