"","BPS_NAME","BPS_MODEL","groupedCount","ACRES","fireType","returnInterval","annualProb","annualAcres","percentAnnual"
"1","Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66",1633307,362594.154,"FRI_REPLAC",309,0.00323624595469256,1173.44386407767,0.323624595469256
"2","Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66",1633307,362594.154,"FRI_MIXED",447,0.00223713646532438,811.172604026846,0.223713646532438
"3","Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66",1633307,362594.154,"FRI_SURFAC",65,0.0153846153846154,5578.3716,1.53846153846154
"4","Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66",1633307,362594.154,"FRI_ALLFIR",48,0.0208333333333333,7554.044875,2.08333333333333
"5","Laurentian Pine-Oak Barrens","14071_41_50_51",1173000,260406,"FRI_REPLAC",109,0.00917431192660551,2389.04587155963,0.917431192660551
"6","Laurentian Pine-Oak Barrens","14071_41_50_51",1173000,260406,"FRI_MIXED",75,0.0133333333333333,3472.08,1.33333333333333
"7","Laurentian Pine-Oak Barrens","14071_41_50_51",1173000,260406,"FRI_SURFAC",5,0.2,52081.2,20
"8","Laurentian Pine-Oak Barrens","14071_41_50_51",1173000,260406,"FRI_ALLFIR",4,0.25,65101.5,25
"9","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","13022_41_50_51",688140,152767.08,"FRI_REPLAC",2040,0.000490196078431373,74.8858235294118,0.0490196078431373
"10","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","13022_41_50_51",688140,152767.08,"FRI_MIXED",NA,NA,NA,NA
"11","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","13022_41_50_51",688140,152767.08,"FRI_SURFAC",NA,NA,NA,NA
"12","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","13022_41_50_51",688140,152767.08,"FRI_ALLFIR",2040,0.000490196078431373,74.8858235294118,0.0490196078431373
"13","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","14810_41_50_51_63",366327,81324.594,"FRI_REPLAC",989,0.00101112234580384,82.2291142568251,0.101112234580384
"14","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","14810_41_50_51_63",366327,81324.594,"FRI_MIXED",NA,NA,NA,NA
"15","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","14810_41_50_51_63",366327,81324.594,"FRI_SURFAC",NA,NA,NA,NA
"16","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","14810_41_50_51_63",366327,81324.594,"FRI_ALLFIR",989,0.00101112234580384,82.2291142568251,0.101112234580384
"17","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","13441_51",251106,55745.532,"FRI_REPLAC",34,0.0294117647058824,1639.57447058824,2.94117647058824
"18","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","13441_51",251106,55745.532,"FRI_MIXED",64,0.015625,871.0239375,1.5625
"19","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","13441_51",251106,55745.532,"FRI_SURFAC",7,0.142857142857143,7963.64742857143,14.2857142857143
"20","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","13441_51",251106,55745.532,"FRI_ALLFIR",5,0.2,11149.1064,20
"21","Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66",131349,29159.478,"FRI_REPLAC",NA,NA,NA,NA
"22","Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66",131349,29159.478,"FRI_MIXED",435,0.00229885057471264,67.0332827586207,0.229885057471264
"23","Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66",131349,29159.478,"FRI_SURFAC",68,0.0147058823529412,428.815852941176,1.47058823529412
"24","Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66",131349,29159.478,"FRI_ALLFIR",59,0.0169491525423729,494.228440677966,1.69491525423729
"25","Laurentian Pine-Oak Barrens-Jack Pine","14072_41_50_51",129191,28680.402,"FRI_REPLAC",25,0.04,1147.21608,4
"26","Laurentian Pine-Oak Barrens-Jack Pine","14072_41_50_51",129191,28680.402,"FRI_MIXED",46,0.0217391304347826,623.487,2.17391304347826
"27","Laurentian Pine-Oak Barrens-Jack Pine","14072_41_50_51",129191,28680.402,"FRI_SURFAC",18,0.0555555555555556,1593.35566666667,5.55555555555556
"28","Laurentian Pine-Oak Barrens-Jack Pine","14072_41_50_51",129191,28680.402,"FRI_ALLFIR",8,0.125,3585.05025,12.5
"29","Boreal Acidic Peatland Systems","14770_40_41_50_51",36140,8023.08,"FRI_REPLAC",716,0.00139664804469274,11.2054189944134,0.139664804469274
"30","Boreal Acidic Peatland Systems","14770_40_41_50_51",36140,8023.08,"FRI_MIXED",NA,NA,NA,NA
"31","Boreal Acidic Peatland Systems","14770_40_41_50_51",36140,8023.08,"FRI_SURFAC",123,0.00813008130081301,65.2282926829268,0.813008130081301
"32","Boreal Acidic Peatland Systems","14770_40_41_50_51",36140,8023.08,"FRI_ALLFIR",105,0.00952380952380952,76.4102857142857,0.952380952380952
"33","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_REPLAC",482,0.0020746887966805,13.2771659751037,0.20746887966805
"34","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_MIXED",998,0.00100200400801603,6.41241883767535,0.100200400801603
"35","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_SURFAC",289,0.00346020761245675,22.1439238754325,0.346020761245675
"36","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66",28827,6399.594,"FRI_ALLFIR",153,0.0065359477124183,41.8274117647059,0.65359477124183
"37","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_REPLAC",872,0.00114678899082569,6.85959633027523,0.114678899082569
"38","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_MIXED",1306,0.000765696784073507,4.580067381317,0.0765696784073507
"39","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_SURFAC",NA,NA,NA,NA
"40","Boreal White Spruce-Fir-Hardwood Forest-Coastal","13652_51",26944,5981.568,"FRI_ALLFIR",523,0.00191204588910134,11.4370325047801,0.191204588910134
"41","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_REPLAC",490,0.00204081632653061,11.2295755102041,0.204081632653061
"42","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_MIXED",524,0.00190839694656489,10.5009389312977,0.190839694656489
"43","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_SURFAC",NA,NA,NA,NA
"44","Boreal White Spruce-Fir-Hardwood Forest-Inland","13651_51",24786,5502.492,"FRI_ALLFIR",253,0.00395256916996047,21.7489802371542,0.395256916996047
