BPS_NAME,BPS_MODEL,groupedCount,ACRES,fireType,returnInterval,annualProb,annualAcres,percentAnnual
Gulf and Atlantic Coastal Plain Swamp Systems,14800_55_99,2068573,459223.206,FRI_REPLAC,NA,NA,NA,NA
Gulf and Atlantic Coastal Plain Swamp Systems,14800_55_99,2068573,459223.206,FRI_MIXED,NA,NA,NA,NA
Gulf and Atlantic Coastal Plain Swamp Systems,14800_55_99,2068573,459223.206,FRI_SURFAC,221,0.004524887,2077.933059,0.452488688
Gulf and Atlantic Coastal Plain Swamp Systems,14800_55_99,2068573,459223.206,FRI_ALLFIR,221,0.004524887,2077.933059,0.452488688
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,13490_46_48_54_55_99,693235,153898.17,FRI_REPLAC,116,0.00862069,1326.708362,0.862068966
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,13490_46_48_54_55_99,693235,153898.17,FRI_MIXED,766,0.001305483,200.9114491,0.130548303
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,13490_46_48_54_55_99,693235,153898.17,FRI_SURFAC,3,0.333333333,51299.39,33.33333333
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,13490_46_48_54_55_99,693235,153898.17,FRI_ALLFIR,3,0.333333333,51299.39,33.33333333
Southern Coastal Plain Nonriverine Cypress Dome,14600_55_56_99,248610,55191.42,FRI_REPLAC,126,0.007936508,438.0271429,0.793650794
Southern Coastal Plain Nonriverine Cypress Dome,14600_55_56_99,248610,55191.42,FRI_MIXED,NA,NA,NA,NA
Southern Coastal Plain Nonriverine Cypress Dome,14600_55_56_99,248610,55191.42,FRI_SURFAC,10,0.1,5519.142,10
Southern Coastal Plain Nonriverine Cypress Dome,14600_55_56_99,248610,55191.42,FRI_ALLFIR,9,0.111111111,6132.38,11.11111111
East Gulf Coastal Plain Near-Coast Pine Flatwoods,14540_55_56_99,32764,7273.608,FRI_REPLAC,100,0.01,72.73608,1
East Gulf Coastal Plain Near-Coast Pine Flatwoods,14540_55_56_99,32764,7273.608,FRI_MIXED,482,0.002074689,15.09047303,0.20746888
